train_loss,test_loss,train_score,test_score
2.0333745634690854,1.7832511049172695,0.5859041844349681,0.7286
1.5983351999294568,1.409489857806778,0.7571295309168443,0.7931
1.287598311768372,1.1502104902767667,0.8014225746268657,0.8275
1.0731576951336033,0.9734414065923286,0.8267590618336887,0.8426
0.9257192272226081,0.8469354258351548,0.8401186034115139,0.8538
0.8201717866712582,0.7566810557033449,0.8492304104477612,0.8641
0.7399785149385842,0.6892640187841409,0.8583422174840085,0.8733
0.6790046890848411,0.6345918782510822,0.8639225746268657,0.8783
0.6309966001567051,0.590523772803835,0.8703191631130064,0.8805
0.5908387453548238,0.5572212649399059,0.8743336886993603,0.8861
0.5581179471671467,0.5236273430647067,0.8780650319829424,0.8923
0.52776326446538,0.5017277888593694,0.8837953091684435,0.8936
0.5046587970647675,0.47550189560784983,0.8853611407249466,0.8939
0.4823166685492781,0.45366713422713817,0.8884095149253731,0.8995
0.464110501924001,0.43691245046120114,0.8912746535181236,0.9011
0.4469396780333579,0.42290192271273536,0.8943230277185501,0.9025
0.4334528916652907,0.4087289570842442,0.8961886993603412,0.9062
0.4172391384111292,0.3973422599635277,0.8996535181236673,0.906
0.4070702044441392,0.38625031585036074,0.900319829424307,0.9077
0.3950260328255497,0.372581631547011,0.9035680970149254,0.9084
0.38375992394716774,0.3633988650264877,0.9055836886993603,0.9127
0.375184550933258,0.35708965534123127,0.9062166844349681,0.9115
0.36627012965330896,0.34768072564881847,0.908148987206823,0.9153
0.3582112324387578,0.3386026018361591,0.9094649520255863,0.917
0.3504755590056519,0.3345706290354249,0.9107809168443497,0.9173
0.3446868836999975,0.3254172701533643,0.9116637793176973,0.9204
0.3365426104258967,0.3188109489854691,0.9131296641791045,0.9204
0.3305019503863301,0.3151712191356191,0.9135294509594882,0.92
0.3239832550475299,0.3107101684801439,0.9162113539445629,0.919
0.31875326036356283,0.3046353615776416,0.9173107675906184,0.9225
0.31370640996499927,0.29430778470992147,0.9184768123667377,0.9255
0.30653085563261456,0.2933423729609837,0.9197594616204691,0.9239
0.30308817194749893,0.2883083915062725,0.9202591950959488,0.9256
